ok  	github.com/joeycumines/one-shot-man/cmd/osm	0.598s
goos: darwin
goarch: arm64
pkg: github.com/joeycumines/one-shot-man/internal
cpu: Apple M2 Pro
BenchmarkInputLatency_AIContention-10           	   37750	     32306 ns/op	    4999 B/op	     282 allocs/op
BenchmarkInputLatency_AIContention-10           	   37395	     32222 ns/op	    4999 B/op	     282 allocs/op
BenchmarkInputLatency_AIContention-10           	   37434	     32205 ns/op	    4999 B/op	     282 allocs/op
BenchmarkInputLatency_AIContention-10           	   37072	     32314 ns/op	    4999 B/op	     282 allocs/op
BenchmarkInputLatency_AIContention-10           	   37276	     32447 ns/op	    4999 B/op	     282 allocs/op
BenchmarkInputLatency_RealisticTickUpdate-10    	   80121	     15488 ns/op	   10064 B/op	     160 allocs/op
BenchmarkInputLatency_RealisticTickUpdate-10    	   78026	     15274 ns/op	   10064 B/op	     160 allocs/op
BenchmarkInputLatency_RealisticTickUpdate-10    	   78476	     15620 ns/op	   10064 B/op	     160 allocs/op
BenchmarkInputLatency_RealisticTickUpdate-10    	   75574	     15635 ns/op	   10064 B/op	     160 allocs/op
BenchmarkInputLatency_RealisticTickUpdate-10    	   79114	     15379 ns/op	   10064 B/op	     160 allocs/op
ok  	github.com/joeycumines/one-shot-man/internal/builtin/bt	80.387s
ok  	github.com/joeycumines/one-shot-man/internal/builtin/bubbles/textarea	0.651s
ok  	github.com/joeycumines/one-shot-man/internal/builtin/bubbles/viewport	0.668s
goos: darwin
goarch: arm64
pkg: github.com/joeycumines/one-shot-man/internal/builtin/bubbletea
cpu: Apple M2 Pro
BenchmarkJsToTeaMsg_KeyMsg-10           	16490667	        72.55 ns/op	      56 B/op	       2 allocs/op
BenchmarkJsToTeaMsg_KeyMsg-10           	16245266	        72.50 ns/op	      56 B/op	       2 allocs/op
BenchmarkJsToTeaMsg_KeyMsg-10           	16020612	        72.47 ns/op	      56 B/op	       2 allocs/op
BenchmarkJsToTeaMsg_KeyMsg-10           	16676857	        72.54 ns/op	      56 B/op	       2 allocs/op
BenchmarkJsToTeaMsg_KeyMsg-10           	16615579	        72.59 ns/op	      56 B/op	       2 allocs/op
BenchmarkJsToTeaMsg_MouseMsg-10         	 7496061	       160.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_MouseMsg-10         	 7471461	       161.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_MouseMsg-10         	 7482952	       161.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_MouseMsg-10         	 7443102	       160.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_MouseMsg-10         	 7487503	       160.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_WindowSizeMsg-10    	21130107	        57.10 ns/op	      16 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_WindowSizeMsg-10    	21039742	        57.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_WindowSizeMsg-10    	21028344	        57.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_WindowSizeMsg-10    	20993502	        57.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkJsToTeaMsg_WindowSizeMsg-10    	20980350	        57.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkMsgToJS_KeyMsg-10              	 5873677	       226.3 ns/op	     408 B/op	       7 allocs/op
BenchmarkMsgToJS_KeyMsg-10              	 6004494	       200.3 ns/op	     408 B/op	       7 allocs/op
BenchmarkMsgToJS_KeyMsg-10              	 5904225	       201.0 ns/op	     408 B/op	       7 allocs/op
BenchmarkMsgToJS_KeyMsg-10              	 5670883	       202.2 ns/op	     408 B/op	       7 allocs/op
BenchmarkMsgToJS_KeyMsg-10              	 6009138	       201.9 ns/op	     408 B/op	       7 allocs/op
BenchmarkMsgToJS_TickMsg-10             	10136005	       120.2 ns/op	     360 B/op	       4 allocs/op
BenchmarkMsgToJS_TickMsg-10             	10100463	       131.5 ns/op	     360 B/op	       4 allocs/op
BenchmarkMsgToJS_TickMsg-10             	 9795687	       121.6 ns/op	     360 B/op	       4 allocs/op
BenchmarkMsgToJS_TickMsg-10             	10155118	       120.7 ns/op	     360 B/op	       4 allocs/op
BenchmarkMsgToJS_TickMsg-10             	 9823969	       123.7 ns/op	     360 B/op	       4 allocs/op
BenchmarkValueToCmd_Quit-10             	 3568486	       332.3 ns/op	     696 B/op	      10 allocs/op
BenchmarkValueToCmd_Quit-10             	 3655146	       330.5 ns/op	     696 B/op	      10 allocs/op
BenchmarkValueToCmd_Quit-10             	 3577555	       360.9 ns/op	     696 B/op	      10 allocs/op
BenchmarkValueToCmd_Quit-10             	 3647972	       330.6 ns/op	     696 B/op	      10 allocs/op
BenchmarkValueToCmd_Quit-10             	 3664543	       331.6 ns/op	     696 B/op	      10 allocs/op
BenchmarkValueToCmd_Tick-10             	 1769709	       704.8 ns/op	    1120 B/op	      20 allocs/op
BenchmarkValueToCmd_Tick-10             	 1761984	       675.2 ns/op	    1120 B/op	      20 allocs/op
BenchmarkValueToCmd_Tick-10             	 1781342	       675.9 ns/op	    1120 B/op	      20 allocs/op
BenchmarkValueToCmd_Tick-10             	 1780051	       682.1 ns/op	    1120 B/op	      20 allocs/op
BenchmarkValueToCmd_Tick-10             	 1796350	       677.2 ns/op	    1120 B/op	      20 allocs/op
BenchmarkValueToCmd_Batch-10            	  339157	      3545 ns/op	    5458 B/op	      99 allocs/op
BenchmarkValueToCmd_Batch-10            	  329655	      3554 ns/op	    5458 B/op	      99 allocs/op
BenchmarkValueToCmd_Batch-10            	  340806	      3555 ns/op	    5458 B/op	      99 allocs/op
BenchmarkValueToCmd_Batch-10            	  342896	      3580 ns/op	    5458 B/op	      99 allocs/op
BenchmarkValueToCmd_Batch-10            	  340254	      3561 ns/op	    5458 B/op	      99 allocs/op
BenchmarkParseKey_Rune-10               	63966027	        18.91 ns/op	       8 B/op	       1 allocs/op
BenchmarkParseKey_Rune-10               	63484924	        18.85 ns/op	       8 B/op	       1 allocs/op
